Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,960.54,967.746,953.586,955.598,960.54,967.746,953.586,955.598,14.159999999999968,14.159999999999968,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,955.598,977.855,948.948,973.668,955.598,977.855,948.948,973.668,28.90700000000004,15.564476190476165,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.89096251771144,
38449,975.97,1000.266,974.309,984.733,975.97,1000.266,974.309,984.733,26.597999999999956,16.615287981859385,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.04887620108036,
38450,984.665,1003.699,979.529,1003.445,984.665,1003.699,979.529,1003.445,24.16999999999996,17.334784364539438,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.00702178112556,
38453,1003.879,1008.735,992.773,995.421,1003.879,1008.735,992.773,995.421,15.961999999999989,17.204042996488063,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,104.1673381484683,
38454,993.711,993.711,978.204,978.697,993.711,993.711,978.204,978.697,17.2170000000001,17.205276996822544,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.41722983932576,
38455,987.95,1006.499,987.95,1000.9,987.95,1006.499,987.95,1000.9,27.80200000000002,18.214488711410876,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,104.74069640162496,
38456,1004.64,1006.416,985.578,986.975,1004.64,1006.416,985.578,986.975,20.83800000000008,18.46434692937175,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.28349368667577,
38457,982.613,982.613,971.93,974.082,982.613,982.613,971.93,974.082,15.045000000000073,18.13869484086016,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.93428617473039,
38460,970.907,970.907,958.649,963.772,970.907,970.907,958.649,963.772,15.432999999999993,17.881009617921098,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.85538060983804,
38461,962.916,968.867,957.91,965.886,962.916,968.867,957.91,965.886,10.956999999999994,17.22158013050004,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.07660334157251,
38462,964.151,964.151,946.197,950.867,964.151,964.151,946.197,950.867,19.688999999999965,17.456572499023842,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,99.50491733971816,
38463,948.861,955.553,938.595,943.981,948.861,955.553,938.595,943.981,16.95799999999997,17.409089403878713,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.78432144060578,
38464,942.908,947.909,934.957,939.101,942.908,947.909,934.957,939.101,12.951999999999998,16.984604698747408,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.2736464496577,
