Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,908.185,912.382,899.796,901.744,908.185,912.382,899.796,901.744,12.585999999999899,12.585999999999899,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,901.744,921.638,893.027,918.557,901.744,921.638,893.027,918.557,28.61099999999999,14.112190476190383,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.86449812807183,
38449,919.235,945.571,917.626,932.333,919.235,945.571,917.626,932.333,27.94500000000005,15.4296009070294,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.39220443939743,
38450,931.774,949.468,928.058,949.457,931.774,949.468,928.058,949.457,21.409999999999968,15.999162725407547,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.29119129154172,
38453,949.847,957.342,943.722,948.509,949.847,957.342,943.722,948.509,13.620000000000005,15.772575799178258,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.18606167604109,
38454,947.115,947.115,927.11,927.41,947.115,947.115,927.11,927.41,21.399,16.30842572306604,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.84626235383878,
38455,932.311,951.198,932.311,950.229,932.311,951.198,932.311,950.229,23.78800000000001,17.020766130393085,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.37680317251903,
38456,952.538,954.141,934.128,935.425,952.538,954.141,934.128,935.425,20.01299999999992,17.305740784641355,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.73509554818219,
38457,931.666,931.666,911.318,913.271,931.666,931.666,911.318,913.271,24.10699999999997,17.95347975753265,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.2783007150588,
38460,910.889,910.889,895.275,901.118,910.889,910.889,895.275,901.118,17.99599999999998,17.957529304434303,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,99.93057896697954,
38461,899.934,905.052,893.29,902.785,899.934,905.052,893.29,902.785,11.762000000000057,17.367478894488183,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.11544296385671,
38462,902.22,902.22,880.928,884.083,902.22,902.22,880.928,884.083,21.85699999999997,17.79505233310835,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.0414618783158,
38463,881.676,886.437,863.138,867.328,881.676,886.437,863.138,867.328,23.298999999999978,18.31923782519327,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.18339573093915,
38464,865.817,870.005,851.343,857.401,865.817,870.005,851.343,857.401,18.662000000000035,18.351881841841532,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.08252896609235,
38467,846.142,847.812,829.548,841.058,846.142,847.812,829.548,841.058,27.852999999999952,19.256750237856618,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,93.27015206089533,
38468,839.248,858.107,835.857,855.24,839.248,858.107,835.857,855.24,22.25,19.541821643775037,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,94.84288223708724,
38469,857.951,857.951,839.562,839.953,857.951,857.951,839.562,839.953,18.38900000000001,19.432029106272655,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,93.14761173903014,
38470,837.384,863.452,825.509,860.616,837.384,863.452,825.509,860.616,37.942999999999984,21.194978715199067,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.43906030979967,
38471,860.393,860.393,845.436,847.611,860.393,860.393,845.436,847.611,15.17999999999995,20.62212359946582,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,93.9968549832325,
38481,848.088,851.209,818.105,818.399,848.088,851.209,818.105,818.399,33.10399999999993,21.810873732850023,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.75735463723629,
38482,814.765,818.497,791.103,818.088,814.765,818.497,791.103,818.088,27.394000000000005,22.342600044007163,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.72286591316382,
38483,816.817,822.773,809.58,811.57,816.817,822.773,809.58,811.57,13.192999999999984,21.47120956362553,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.00004435848756,
