Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,833.2819,842.2389,821.0291,829.3475,833.2819,842.2389,821.0291,829.3475,21.209799999999973,21.209799999999973,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,827.3398,847.2752,822.5893,841.0137,827.3398,847.2752,822.5893,841.0137,24.68590000000006,21.54085714285712,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.40667211271513,
38449,840.9267,860.1003,836.021,857.0522,840.9267,860.1003,836.021,857.0522,24.07929999999999,21.782613605442155,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.34054181148433,
38450,855.5822,873.5915,854.9111,872.7794,855.5822,873.5915,854.9111,872.7794,18.680399999999963,21.487164690638135,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.23687597780183,
38453,872.7563,879.1076,872.7563,875.64,872.7563,879.1076,872.7563,875.64,6.3513000000000375,20.04565376772022,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.58179773858365,
38454,873.1794,880.4702,849.5906,853.8244,873.1794,880.4702,849.5906,853.8244,30.879599999999982,21.077458170794486,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.95134427968975,
38455,857.7376,879.3477,855.6982,875.5863,857.7376,879.3477,855.6982,875.5863,25.523300000000063,21.500871678337873,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,105.57532276880319,
38456,877.3498,880.2583,850.7134,857.571,877.3498,880.2583,850.7134,857.571,29.544899999999984,22.266969613734265,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.40309701301325,
38457,849.8915,851.8561,824.1011,828.4174,849.8915,851.8561,824.1011,828.4174,33.46990000000005,23.333915364807197,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,99.88785159417495,
38460,821.1009,822.5546,803.51,809.0794,821.1009,822.5546,803.51,809.0794,24.907400000000052,23.483771044349375,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.5561390128987,
38461,806.0869,809.3918,805.3523,809.3918,806.0869,809.3918,805.3523,809.3918,4.039499999999975,21.63193570679229,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.5938071797407,
38462,804.3534,808.4154,788.0139,788.474,804.3534,808.4154,788.0139,788.474,21.377899999999954,21.607741829954925,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.07160749866614,
38463,784.923,794.9203,760.4171,765.1913,784.923,794.9203,760.4171,765.1913,34.50319999999999,22.83588070329255,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.26425593614258,
38464,760.9725,768.7844,737.0686,746.0484,760.9725,768.7844,737.0686,746.0484,31.71580000000006,23.681587302978976,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,89.95606787263482,
38467,737.9578,742.3278,718.6287,724.9178,737.9578,742.3278,718.6287,724.9178,27.419700000000034,24.0375980360286,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,87.40820946587529,
38468,719.5634,745.1056,718.2537,742.5315,719.5634,745.1056,718.2537,742.5315,26.8519,24.305626794502068,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,89.532011611538,
38469,743.4759,744.4673,720.7825,724.8489,743.4759,744.4673,720.7825,724.8489,23.684799999999996,24.246500433120918,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,87.39990172997446,
38470,719.4465,746.2938,714.5124,746.2938,719.4465,746.2938,714.5124,746.2938,31.781400000000076,24.96410991568084,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,89.98565739934105,
38471,742.3222,748.7431,732.4926,733.074,742.3222,748.7431,732.4926,733.074,16.250499999999988,24.134242304663616,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.39165729685084,
