Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
41641,999.1368,1016.4858,999.1368,1016.4532,999.1368,1016.4858,999.1368,1016.4532,17.349000000000046,17.349000000000046,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
41642,1013.657,1015.7665,1009.1565,1012.9818,1013.657,1015.7665,1009.1565,1012.9818,7.296699999999987,16.391638095238136,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,99.65847911148295,
41645,1010.0497,1010.0497,982.7247,982.8571,1010.0497,1010.0497,982.7247,982.8571,30.257100000000037,17.712158276644033,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.6947715841713,
41646,978.6413,990.7485,976.86,990.7485,978.6413,990.7485,976.86,990.7485,13.888500000000022,17.34800034553508,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.47113787432615,
41647,991.5784,999.9839,991.5194,996.4998,991.5784,999.9839,991.5194,996.4998,9.235399999999913,16.5753717411984,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.03695831741196,
41648,994.8334,999.3207,978.6782,978.6782,994.8334,999.3207,978.6782,978.6782,20.64250000000004,16.9627172896557,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.28364591699842,
41649,974.304,974.8093,960.0508,962.5876,974.304,974.8093,960.0508,962.5876,18.627399999999966,17.12125850016468,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,94.70063156867428,
41652,962.4205,970.219,958.9058,965.7477,962.4205,970.219,958.9058,965.7477,11.313200000000052,16.56811007157757,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.01152635458277,
41653,966.1326,985.8214,965.2165,985.8214,966.1326,985.8214,965.2165,985.8214,20.604900000000043,16.952566255236853,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.98640330907513,
41654,985.4427,994.3847,985.4427,994.3847,985.4427,994.3847,985.4427,994.3847,8.942000000000007,16.189655183309533,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.82887200315764,
