Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,0.178823060785449,0.182567646246341,0.17454353454443,0.175613416104685,0.178823060785449,0.182567646246341,0.17454353454443,0.175613416104685,0.008024111701911002,0.008024111701911002,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,0.178899480896896,0.18187986524332,0.177676759113748,0.178288120005322,0.178899480896896,0.18187986524332,0.177676759113748,0.178288120005322,0.006266449138635,0.007856715267313286,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.52306353350735,
38449,0.179205161342683,0.183408267472256,0.176148356884812,0.181574184797533,0.179205161342683,0.183408267472256,0.176148356884812,0.181574184797533,0.007259910587443991,0.007799876726373353,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.39425587467346,
38450,0.182338385912001,0.18638865181868,0.178823060785449,0.179205161342683,0.182338385912001,0.18638865181868,0.178823060785449,0.179205161342683,0.007565591033231012,0.0077775638032169395,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.04525674499546,
38453,0.180504303237278,0.181115664128853,0.175154895436004,0.175689836216132,0.180504303237278,0.181115664128853,0.175154895436004,0.175689836216132,0.005960768692849006,0.007604535697467612,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.04351610095748,
38454,0.175154895436004,0.178135279782428,0.171257469752219,0.177829599336641,0.175154895436004,0.178135279782428,0.171257469752219,0.177829599336641,0.006877810030208986,0.007535323729157267,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.26196692776304,
38455,0.178058859670982,0.178517380339662,0.169270546854603,0.170416848526304,0.178058859670982,0.178517380339662,0.169270546854603,0.170416848526304,0.009246833485059003,0.007698324658290765,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.04090513489967,
38456,0.170798949083538,0.17240377142392,0.168429925628688,0.169041286520262,0.170798949083538,0.17240377142392,0.168429925628688,0.169041286520262,0.003973845795231995,0.007343612385618502,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.25761531766726,
38457,0.166901523399753,0.168124245182901,0.161628535709925,0.163156937938861,0.166901523399753,0.168124245182901,0.161628535709925,0.163156937938861,0.0074127508103370154,0.007350196997496455,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.90687554395129,
38460,0.162163476490053,0.165678801616604,0.161246435152692,0.162010636267159,0.162163476490053,0.165678801616604,0.161246435152692,0.162010636267159,0.004432366463912013,0.007072308375250318,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.25413402959074,
